orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
90,25717233,心花路放,7.2,552224,132104, 15.1%, 39.9%, 37.5%, 6.1%, 1.3%,"导演: 宁浩
主演: 黄渤 / 徐峥 / 袁泉
类型: 喜剧 / 爱情
制片国家/地区: 中国大陆
年份: 2014","11.69"
91,25895276,煎饼侠,5.8,392850,99644, 6.6%, 17.2%, 43.6%, 23.1%, 9.5%,"导演: 大鹏
主演: 大鹏 / 袁姗姗 / 柳岩
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2015","11.62"
92,26309788,金刚：骷髅岛 Kong: Skull Island,6.5,237675,69809, 6.5%, 27.8%, 52.7%, 11.0%, 1.9%,"导演: 乔丹·沃格特-罗伯茨
主演: 汤姆·希德勒斯顿 / 塞缪尔·杰克逊 / 布丽·拉尔森
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 美国/中国大陆
年份: 2017","11.589"
93,35725869,年会不能停！,8.2,601789,246779, 32.0%, 47.6%, 18.0%, 1.9%, 0.5%,"导演: 董润年
主演: 大鹏 / 白客 / 庄达菲
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2023","11.57"
94,26394152,大黄蜂 Bumblebee,7,384750,111140, 10.7%, 36.8%, 43.5%, 8.0%, 1.1%,"导演: 特拉维斯·奈特
主演: 海莉·斯坦菲尔德 / 小豪尔赫·兰登伯格 / 约翰·塞纳
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/中国大陆
年份: 2018","11.49"
95,35155748,金刚川,6.3,315786,117823, 9.3%, 24.6%, 43.8%, 16.0%, 6.3%,"导演: 管虎 / 郭帆 / 路阳
主演: 张译 / 吴京 / 李九霄
类型: 剧情 / 战争
制片国家/地区: 中国大陆
年份: 2020","11.26"
96,3230115,极限特工3：终极回归 xXx: Return of Xander Cage,5.6,113067,39452, 5.4%, 15.0%, 44.1%, 27.1%, 8.4%,"导演: D·J·卡卢索
主演: 范·迪塞尔 / 甄子丹 / 迪皮卡·帕度柯妮
类型: 动作 / 冒险
制片国家/地区: 美国
年份: 2017","11.25"
97,35068653,误杀2,5.7,368663,136343, 3.4%, 15.4%, 50.1%, 25.6%, 5.5%,"导演: 戴墨
主演: 肖央 / 任达华 / 文咏珊
类型: 剧情 / 犯罪
制片国家/地区: 中国大陆
年份: 2021","11.21"
98,36081094,热辣滚烫,8,356608,187185, 33.9%, 38.8%, 21.2%, 4.2%, 1.9%,"导演: 贾玲
主演: 贾玲 / 雷佳音 / 张小斐
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2024","22.9"
99,36369452,飞驰人生2,7.8,262307,110041, 27.0%, 43.0%, 24.3%, 3.5%, 2.1%,"导演: 韩寒
主演: 沈腾 / 范丞丞 / 尹正
类型: 剧情 / 喜剧 / 运动
制片国家/地区: 中国大陆
年份: 2024","20"
100,36438166,熊出没·逆转时空,7,23381,11074, 17.4%, 30.5%, 38.1%, 10.8%, 3.2%,"导演: 林汇达
主演: 谭笑 / 张秉君 / 张伟
类型: 喜剧 / 科幻 / 动画
制片国家/地区: 中国大陆
年份: 2024","11.43"
