orderId,上映时间,影片名,导演,票房（万元）
257,2014,一步之遥（6.5）,姜文,51419
259,2015,滚蛋吧！肿瘤君（7.4）,韩延,51064
260,2018,动物世界（7.2）,韩延,50898
262,2021,1921（6.7）,黄建新 / 郑大圣,50388
264,2020,我在时间尽头等你（5.5）,姚婷婷,50182
267,2015,小时代4：灵魂尽头（4.8）,郭敬明,48816
268,2013,小时代（4.8）,郭敬明,48814
270,2015,左耳（5.6）,苏有朋,48520
271,2020,紧急救援（6.2）,林超贤,48507
273,2016,我不是潘金莲（6.7）,冯小刚,48370
274,2016,摆渡人（4.1）,张嘉佳,48396
276,2018,厉害了，我的国（-）,卫铁,48055
277,2010,非诚勿扰2（6.5）,冯小刚,47880
282,2022,李茂扮太子（4.6）,高可,46240
283,2023,金手指（6.5）,庄文强,46004
284,2017,缝纫机乐队（6.6）,大鹏,45671
285,2021,新神榜：哪吒重生（7.3）,赵霁,45648
286,2014,同桌的妳（5.9）,郭帆,45610
292,2019,白蛇：缘起（7.8）,黄家康 *,44863
296,2018,晴雅集（5.1）,郭敬明,44271
298,2018,反贪风暴3（5.7）,林德禄,44068
299,2023,第八个嫌疑人（6.3）,李子俊,43905
300,2021,峰爆（6.5）,李骏,43814
302,2015,奔跑吧！兄弟（3.5）,胡笳 *,43408
304,2021,古董局中局（6.3）,郭子健,42995
306,2023,我爱你！（7.9）,韩延,42792
310,2011,建党伟业（-）,韩三平 *,42297
311,2009,建国大业（-）,韩三平 *,41595
314,2019,最好的我们（5.3）,章笛沙,41271
315,2014,京城81号（4.8）,叶伟民,41193
317,2015,百团大战（5.3）,宁海强 *,41138
319,2015,钟馗伏魔：雪妖魔灵（4.3）,鲍德熹 *,40892
323,2014,北京爱情故事（6.1）,陈思诚,40582
324,2021,扫黑·决战（6.5）,吕聿来,40547
325,2020,沐浴之王（6.2）,易小星,40471
326,2022,想见你（6.4）,黄天仁,40347
327,2017,建军大业（-）,刘伟强,40296
328,2019,诛仙（4.4）,程小东,40262
329,2017,嫌疑人X的献身（6.3）,苏有朋,40225
330,2015,道士下山（5.5）,陈凯歌,40061
331,2017,拆弹专家（6.3）,邱礼涛,39920
335,2023,交换人生（5.6）,苏伦,39345
338,2014,白发魔女传之明月天国（3.8）,张之亮,39228
342,2021,盛夏未来（7.4）,陈正道,38673
343,2023,茶啊二中（7.8）,夏铭泽*,38424
344,2016,爵迹（3.9）,郭敬明,38287
346,2019,“大”人物（6.5）,五百,37966
347,2015,栀子花开（4.4）,何炅,37889
352,2018,快把我哥带走（6.9）,郑芬芬,37409
353,2012,一九四二（7.9）,冯小刚,37217
354,2016,火锅英雄（7.2）,杨庆,37054
356,2016,大话西游3（4.0）,刘镇伟,36593
357,2023,潜行（5.7）,关智耀,36138
358,2015,重返20岁（7.1）,陈正道,36590
359,2015,我的少女时代（7.8）,陈玉珊,35929
360,2018,幕后玩家（5.7）,任鹏远,35748
361,2011,失恋33天（7.2）,滕华涛,35608
362,2018,悲伤逆流成河（5.9）,落落,35747
368,2015,何以笙箫默（3.8）,杨文军 *,35315
369,2013,一代宗师（8.1）,王家卫,35149
373,2014,亲爱的（8.4）,陈可辛,34192
380,2016,致青春·原来你还在这里（4.3）,周拓如,33660
382,2020,如果声音不记得（4.1）,落落,33515
384,2008,非诚勿扰（7.2）,冯小刚,32526
385,2016,我的特工爷爷（5.5）,洪金宝,32443
387,2015,万万没想到（5.6）,易小星,32232
388,2015,横冲直撞好莱坞（4.5）,蒂姆·肯德尔,32218
390,2008,赤壁(上)（6.4）,吴宇森,32100
391,2013,风暴（6.5）,袁锦麟,31763
392,2017,空天猎（5.0）,李晨,31758
395,2018,黄金兄弟（5.0）,钱嘉乐,31514
398,2019,罗小黑战记（8.2）,木头,31382
399,2022,绝望主夫（4.7）,张琦,31354
403,2014,河边的错误（7.3）,魏书钧,30969
404,2014,窃听风云3（6.3）,麦兆辉 *,30917
406,2019,追龙Ⅱ（5.5）,王晶 *,30692
408,2017,机器之血（4.7）,张立嘉,30529
409,2015,烈日灼心（8.2）,曹保平,30465
410,2017,心理罪（4.9）,谢东燊,30387
411,2023,这么多年（6.4）,季竹青,30097
412,2017,奇门遁甲（4.4）,袁和平,29964
413,2013,天机·富春山居图（3.0）,孙健君,29909
415,2017,记忆大师（7.1）,陈正道,29176
